施設区分,施設正式名称,郵便番号,所在地,電話番号,開設者名,管理者氏名,精神病床数,結核病床数,感染症病床数,一般病床数,療養病床数,内科,呼吸器内科,循環器内科,消化器内科,心臓内科,血液内科,気管食道内科,胃腸内科,腫瘍内科,糖尿病内科,代謝内科,内分泌内科,脂質代謝内科,腎臓内科,神経内科,心療内科,感染症内科,漢方内科,老年内科,女性内科,新生児内科,性感染症内科,内視鏡内科,人工透析内科,疼痛緩和内科,ペインクリニック内科,アレルギー疾患内科,内科（ペインクリニック）,内科（循環器）,内科（薬物療法）,内科（感染症）,内科（骨髄移植）,外科,呼吸器外科,心臓血管外科,心臓外科,消化器外科,乳腺外科,小児外科,気管食道外科,肛門外科,整形外科,脳神経外科,形成外科,美容外科,腫瘍外科,移植外科,頭頚部外科,胸部外科,腹部外科,肝臓外科,膵臓外科,胆のう外科,食道外科,胃腸外科,大腸外科,内視鏡外科,ペインクリニック外科,外科（内視鏡）,外科（がん）,精神科,アレルギー科,リウマチ科,小児科,皮膚科,泌尿器科,産婦人科,産科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,放射線診断科,放射線治療科,病理診断科,臨床検査科,救急科,児童精神科,老年精神科,気管食道・耳鼻咽喉科,腫瘍放射線科,男性泌尿器科,神経泌尿器科,小児泌尿器科,小児科（新生児）,泌尿器科（不妊治療）,泌尿器科（人工透析）,泌尿器科（生殖医療）,美容皮膚科,歯科,小児歯科,矯正歯科,歯科口腔外科,神経科,呼吸器科,消化器科,胃腸科,循環器科,皮膚泌尿器科,性病科,こう門科,気管食道科,麻酔科,診療科目その他,開設年月日,"千葉県/成田市/所","140.45662","35.85686","3","5"
病院,熊本整形外科病院,862-0975,熊本市中央区新屋敷1丁目17番1号 ,096-366-3666,社会医療法人令和会,生田　拓也,0,0,0,204,0,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,血管外科,令和 02年05月01日,"LocName","fX","fY","iConf","iLvl"
病院,熊本市立熊本市民病院,862-0901,熊本市東区東町４丁目１番６０号 ,096-365-1711,熊本市,相良　孝昭,0,0,8,380,0,,○,○,○,,,,,,,○,,,○,,,○,,,,○,,,,,,,,,,,,,○,,,○,,○,,,○,○,,,,,,,,,,,,,,,,,,○,,,○,○,○,,○,○,○,○,○,○,,,○,,○,,,,,,,,,,,,,,,,○,,,,,,,,,,○,血液・腫瘍内科 乳腺・内分泌外科 小児心臓外科 脳神経内科 小児循環器内科,令和 01年10月01日,"熊本県/熊本市/東区/東町/四丁目/１番","130.76074","32.78730","5","7"
病院,上代成城病院,860-0068,熊本市西区上代２丁目２番２５号 ,096-356-1515,医療法人　山部会,杉之原　賢治,0,0,0,30,52,○,○,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科 脳神経内科,平成 30年02月01日,"熊本県/熊本市/西区/上代/二丁目/２番","130.67389","32.78120","5","7"
病院,大腸肛門病センター高野病院,8620971,熊本市中央区大江３丁目２番５５号 ,096-320-6500,社会医療法人社団高野会,髙野　正太,0,0,0,166,0,○,,,○,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,○,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,肛門内科 大腸・肛門リハビリテーション科 緩和ケア内科,平成 29年08月01日,"熊本県/熊本市/中央区/大江/三丁目/２番","130.72240","32.80294","5","7"
病院,くまもと森都総合病院,862-0971,熊本市中央区大江３丁目２番６５号 ,096-364-6000,医療法人　創起会,鈴島　仁,0,0,0,199,0,○,○,○,,,○,,,,,,,,○,,,,○,,,,,,○,,,,,,,,,○,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,○,,○,○,,,○,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,肝臓・消化器内科 代謝・内分泌内科 リウマチ内科 腫瘍精神科,平成 29年04月01日,"熊本県/熊本市/中央区/大江/三丁目/２番","130.72240","32.80294","5","7"
病院,森病院,861-4101,熊本市南区近見１丁目１６番１６号 ,096-354-0177,医療法人　森和会,森　健太,193,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,平成 26年05月01日,"熊本県/熊本市/南区/近見/一丁目/１６番","130.69145","32.76957","5","7"
病院,にしくまもと病院,861-4157,熊本市南区富合町古閑１０１２番地 ,096-358-1118,医療法人　相生会,山口　浩司,0,0,0,72,74,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,糖尿病・代謝内科 脳神経内科,平成 25年09月01日,"熊本県/熊本市/南区/富合町古閑/１０１２番地","130.67590","32.70970","5","7"
病院,熊本託麻台リハビリテーション病院,862-0924,熊本市中央区帯山8丁目2-1 ,096-381-5111,医療法人　堀尾会,平田　好文,0,0,0,142,0,○,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,小児リハビリテーション科 脳神経内科,平成 25年05月01日,"熊本県/熊本市/中央区/帯山/八丁目/２番","130.76093","32.80595","5","7"
病院,医療法人　憲和会　南部中央病院,861-4106,熊本市南区南高江６丁目２番２４号 ,096-357-3322,医療法人　憲和会,坂本　憲史,0,0,0,68,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,平成 24年08月01日,"熊本県/熊本市/南区/南高江/六丁目/２番","130.68636","32.75141","5","7"
病院,平成とうや病院,862-0963,熊本市南区出仲間８丁目２−１５ ,096-379-0108,医療法人　清和会,米村　憲輔,0,0,0,104,56,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科,平成 23年04月01日,"熊本県/熊本市/南区/出仲間/八丁目/２番","130.71873","32.76729","5","7"
