業務種別,許可番号,名称,所在地,開設者氏名,有効期間
店舗販売,158,メディカルワンはません店,熊本県熊本市南区田井島1丁目2-1,株式会社イズミ,令和3年6月1日～令和9年5月31日
店舗販売,165,ココカラファイン　熊本城山店,熊本市西区城山下代2丁目6番15号,株式会社ココカラファイン　ヘルスケア,令和3年4月1日～令和9年3月31日
店舗販売,166,ドラッグセガミ　グランパレッタ熊本店,熊本市中央区大江4丁目2-65,株式会社ココカラファイン　ヘルスケア,令和3年4月1日～令和9年3月31日
店舗販売,168,ココカラファイン　サンピアン店,熊本市東区上南部2-2-2,株式会社ココカラファイン　ヘルスケア,令和3年4月1日～令和9年3月31日
店舗販売,170,ココカラファイン　清水バイパス店,熊本市北区高平2丁目25-10,株式会社ココカラファイン　ヘルスケア,令和3年4月1日～令和9年3月31日
店舗販売,174,ロッキードラッグ川尻店,熊本市南区八幡7丁目1-28,株式会社アールリカー,令和3年7月14日～令和9年7月13日
店舗販売,175,ドラッグコスモスくまなん店,熊本市南区江越2丁目16-6,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,176,ドラッグコスモス徳王店,熊本市北区大窪1丁目2-11,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,177,ドラッグコスモス託麻南店,熊本市東区長嶺東3丁目2-47,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,178,ドラッグコスモス新土河原店,熊本市西区新土河原1丁目9-3,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,179,ドラッグコスモス花園店,熊本市西区花園5丁目3-11,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,183,ドラッグコスモス田迎店,熊本市南区田迎1丁目5-3,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,185,ドラッグコスモス月出店,熊本市東区月出1丁目6-8,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,186,ドラッグコスモス九品寺店,熊本市中央区九品寺3丁目15-46,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,187,ドラッグコスモス東海学園前店,熊本市東区渡鹿8丁目21-20,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,188,ドラッグコスモス水前寺駅通店,熊本市中央区水前寺3-33-1,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,195,シモカワ下通店,熊本市中央区安政町１番２７号,株式会社下川薬局,令和3年8月11日～令和9年8月10日
店舗販売,197,ロッキー本山店,熊本市中央区世安町378-4,株式会社ロッキー,令和3年9月1日～令和9年8月31日
店舗販売,203,ロッキー佐土原店,熊本市東区山ノ神1丁目1番60号,株式会社ロッキー,令和3年10月13日～令和9年10月12日
店舗販売,206,サンドラッグ託麻店,熊本市東区小山2-13-61,株式会社　サンドラッグ,令和3年10月26日～令和9年10月25日
店舗販売,207,ドラッグイレブン江津店,熊本市東区江津2丁目27番37号,株式会社ドラッグイレブン,令和3年11月6日～令和9年11月5日
店舗販売,208,ドラッグイレブン島町店,熊本市南区島町4丁目14番17号,株式会社ドラッグイレブン,令和3年11月6日～令和9年11月5日
店舗販売,209,ドラッグイレブン帯山店,熊本市中央区帯山1丁目19番29号,株式会社ドラッグイレブン,令和3年11月6日～令和9年11月5日
店舗販売,211,ドラッグイレブン健軍店,熊本市東区健軍本町21-3,株式会社ドラッグイレブン,令和3年11月6日～令和9年11月5日
店舗販売,215,サンドラッグサンロードシティ熊本店,熊本市東区東町3-2-15,株式会社サンドラッグ,令和3年11月18日～令和9年11月17日
店舗販売,218,西口晴秀堂,熊本市東区尾ノ上1丁目8-11,有限会社西口晴秀堂,令和3年12月3日～令和9年12月2日
店舗販売,224,同仁堂ドラッグストアアットハーズ新外店,熊本市東区新外2丁目6番6号,株式会社同仁堂,令和4年2月1日～令和10年1月31日
店舗販売,226,ドラッグ新生堂　国府店,熊本県熊本市中央区国府本町8番5号,株式会社新生堂薬局,令和4年2月19日～令和10年2月18日
店舗販売,227,サンドラッグさくらの森店,熊本県熊本市東区桜木6-6-1,株式会社サンドラッグ,令和4年2月26日～令和10年2月25日
店舗販売,235,ドラッグコスモス植木店,熊本市北区植木町舞尾545番地1,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,236,ドラッグコスモス城南店,熊本市南区城南町阿高312-3,株式会社コスモス薬品,令和3年7月16日～令和9年7月15日
店舗販売,240,ドラッグコスモス長嶺店,熊本市東区長嶺南1丁目2-1,株式会社コスモス薬品,令和4年4月7日～令和10年4月6日
店舗販売,241,春雨堂城南店,熊本市南区城南町下宮地430番1号,株式会社　春雨堂,令和4年4月9日～令和10年4月8日
店舗販売,242,西本真生堂シーズ店,熊本市南区城南町隈庄406-5,株式会社　西本真生堂,令和4年5月10日～令和10年5月9日
店舗販売,246,ダイレックス 東野店,熊本県熊本市東区東野4-2-1,ダイレックス株式会社,令和4年6月29日～令和10年6月28日
店舗販売,247,ロッキー徳王店,熊本市北区大窪2丁目2番28号,株式会社　ロッキー,令和4年7月1日～令和10年6月30日
店舗販売,248,ドラッグストア　マツモトキヨシ　上熊本駅通店,熊本市西区上熊本2丁目16-17,株式会社マツモトキヨシ九州販売,令和4年7月14日～令和10年7月13日
店舗販売,250,ドラッグコスモス桜木店,熊本市東区花立4丁目3-9,株式会社コスモス薬品,令和4年9月7日～令和10年9月6日
店舗販売,251,東病棟売店ねむのき,熊本市中央区本荘1丁目1番1号,一般財団法人恵和会,令和4年9月14日～令和10年9月13日
店舗販売,253,ドラッグコスモス白藤店,熊本市南区白藤３丁目2-1,株式会社コスモス薬品,令和4年11月5日～令和10年11月4日
店舗販売,254,ドラッグストア　マツモトキヨシ　黒髪店,熊本市中央区薬園町10-4,株式会社マツモトキヨシ九州販売,令和4年11月9日～令和10年11月8日
店舗販売,259,おくすりの丸長,熊本市西区田崎町484番地,長野　重昭,令和4年12月27日～令和10年12月26日
店舗販売,260,ドラッグ　アバ,熊本市中央区帯山7丁目21-9,有限会社 ドラッグ　アバ,令和4年12月27日～令和10年12月26日
店舗販売,261,ドラッグコスモス横手店,熊本市西区横手三丁目6番38号,株式会社　コスモス薬品,令和5年1月13日～令和11年1月12日
店舗販売,262,ダイレックス萩原店,熊本市中央区萩原町4番31号,ダイレックス株式会社,令和5年2月10日～令和11年2月9日
店舗販売,263,ドラッグストアモリ　萩原店,熊本市中央区萩原町２－２,株式会社ナチュラルサポート,令和5年3月16日～令和11年3月15日
店舗販売,265,シモカワ東町店,熊本市東区東町4丁目2番52号,株式会社　下川薬局,令和5年4月11日～令和11年4月10日
店舗販売,266,シモカワ子飼店,熊本市中央区東子飼町7番7号,株式会社　下川薬局,令和5年4月11日～令和11年4月10日
店舗販売,267,シモカワ九品寺店,熊本市中央区九品寺3丁目16番63号,株式会社　下川薬局,令和5年4月11日～令和11年4月10日
店舗販売,273,ダイレックス高平店,熊本県熊本市北区高平3-14-40,ダイレックス株式会社,令和5年7月12日～令和11年7月11日
店舗販売,274,ドラッグコスモス長嶺南店,熊本市東区月出8丁目3番20号,株式会社コスモス薬品,令和5年7月19日～令和11年7月18日
店舗販売,279,北部町薬品,熊本市北区鹿子木町159-2,柿本　英樹,令和5年11月24日～令和11年11月23日
店舗販売,281,上田薬品　三郎店,熊本市東区三郎2丁目7-1,有限会社　上田薬品,令和5年12月9日～令和11年12月8日
